CustomerID,PhoneNum,Email,,State,Country,Gender,Upd_JoinDate,Upd_LastPurchDate,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Upd_AccCreationDate,AccountStatus,Upd_LastUpdateDate,Updated_Referrer_Id,Domain of mail,Sum of Age,Sum of TotalSpent,Sum of LoyaltyPoints,Sum of PurchaseFrequency,Sum of FeedbackRating,Sum of OrderWise
Cust_15,744-834-5908,mark.le@gmail.com,,West Virginia,Qatar,Male,15-Jun-24,02-Feb-24,Gold,Cash,Divorced,03-Apr-24,Active,08-Feb-24,Cust_15,gmail.com,44,6579.71,267,12,3.2,15
Cust_16,744-998-0626,heather.bush@outlook.com,,Kansas,Tuvalu,Male,23-Oct-24,05-Feb-24,Bronze,PayPal,Divorced,25-Jan-24,Inactive,20-Aug-24,Cust_8128,outlook.com,44,5585.33,250,6,4.2,16
Cust_17,001-286-3230,jeremy.ferguson@outlook.com,,Hawaii,Korea,Female,23-Oct-24,13-May-24,Gold,PayPal,Others,10-Sep-24,Inactive,07-Feb-24,Cust_7045,outlook.com,45,4373.66,468,6,2.9,17
Cust_18,152-265-0173,howard.bryan@gmail.com,,Tennessee,Madagascar,Male,23-Oct-24,06-Oct-24,Gold,PayPal,Married,23-Oct-24,Inactive,26-Jun-24,Cust_3205,gmail.com,44,6093.27,276,6,1.1,18
Cust_19,550-969-4523,michael.baker@outlook.com,,Illinois,Central African Republic,Other,23-Oct-24,08-Oct-24,Gold,PayPal,Others,04-Apr-24,Inactive,30-Jan-24,Cust_828,outlook.com,44,7645.87,89,6,2.9,19
Cust_20,812-973-6755,joshua.robinson@outlook.com,,Mississippi,British Virgin Islands,Female,23-Oct-24,23-Mar-24,Platinum,PayPal,Others,23-Oct-24,Inactive,04-Sep-24,Cust_2227,outlook.com,46,8821.95,250,6,2.9,20
Cust_21,123-230-7583,eric.martinez@gmail.com,,Iowa,Guinea,Male,16-May-24,12-Oct-24,Platinum,Debit Card,Divorced,23-Oct-24,Active,11-Mar-24,Cust_21,gmail.com,51,2462.03,140,6,1.3,21
Cust_22,481-431-7063,richard.bryan@yahoo.com,,Michigan,Congo,Other,25-Mar-24,23-Oct-24,Bronze,Debit Card,Married,23-Oct-24,Inactive,17-May-24,Cust_22,yahoo.com,63,5170.09,250,5,4.9,22
Cust_23,173-389-6170,robert.white@yahoo.com,,Massachusetts,Jamaica,Male,23-Oct-24,07-Apr-24,Bronze,Debit Card,Married,23-Oct-24,Active,15-Jun-24,Cust_23,yahoo.com,22,8406.04,317,9,4.8,23
Cust_24,184-846-9371,kevin.patel@gmail.com,,Connecticut,Angola,Female,21-May-24,23-Oct-24,Bronze,Debit Card,Married,23-Oct-24,Active,08-Oct-24,Cust_24,gmail.com,26,3249.78,250,6,2.9,24
Cust_25,001-396-4470,jon.johnson@yahoo.com,,Washington,Aruba,Other,23-Oct-24,01-Mar-24,Silver,Cash,Single,07-Feb-24,Inactive,18-Sep-24,Cust_25,yahoo.com,25,8025.4,298,10,2.9,25
Cust_26,858-790-7850,hector.walters@gmail.com,,Maryland,Burkina Faso,Male,23-Oct-24,21-May-24,Platinum,PayPal,Single,13-Jun-24,Active,09-Jun-24,Cust_8221,gmail.com,44,9344.05,427,9,1.3,26
Cust_27,861-370-1312,robyn.wright@yahoo.com,,Oregon,Yemen,Other,03-May-24,28-Jun-24,Bronze,Credit Card,Single,23-Oct-24,Active,10-Apr-24,Cust_3879,yahoo.com,45,9551.22,292,2,4.2,27
Cust_28,225-716-2328,stephanie.smith@yahoo.com,,Alabama,Ghana,Other,14-Oct-24,23-Oct-24,Silver,Debit Card,Divorced,23-Oct-24,Active,16-Feb-24,Cust_28,yahoo.com,35,1765.23,250,6,2.9,28
Cust_29,252-606-5381,mike.martinez@outlook.com,,West Virginia,Tanzania,Female,14-Feb-24,23-Oct-24,Platinum,Cash,Married,23-Oct-24,Inactive,02-Sep-24,Cust_7087,outlook.com,49,2100.99,250,6,1.5,29
Cust_30,955-976-3646,jonathan.miller@gmail.com,,Tennessee,Jersey,Female,13-Jan-24,15-Jun-24,Gold,Debit Card,Single,23-Oct-24,Inactive,20-Mar-24,Cust_30,gmail.com,44,7212.49,250,10,2.3,30
Cust_31,157-499-8782,martha.maxwell@yahoo.com,,North Carolina,Puerto Rico,Male,23-Oct-24,23-Oct-24,Others,Credit Card,Married,23-Oct-24,Active,10-Apr-24,Cust_31,yahoo.com,44,2573.11,243,6,2.9,31
Cust_32,186-987-3481,teresa.arnold@outlook.com,,Alaska,Benin,Male,13-Oct-24,23-Oct-24,Silver,Cash,Others,23-Oct-24,Active,15-Jan-24,Cust_32,outlook.com,57,5372.44,250,12,1.8,32
Cust_33,550-248-2816,anne.johnson@gmail.com,,Nebraska,Bermuda,Other,23-Oct-24,10-Aug-24,Gold,Credit Card,Others,07-Aug-24,Active,07-Feb-24,Cust_33,gmail.com,44,129.09,412,6,2.9,33
Cust_34,245-422-2150,michelle.smith@outlook.com,,Utah,Turkmenistan,Male,17-May-24,23-Oct-24,Bronze,Debit Card,Married,23-Oct-24,Active,24-May-24,Cust_6436,outlook.com,59,466.54,250,6,2.9,34
Cust_35,148-042-6311,heather.medina@gmail.com,,Connecticut,Kyrgyz Republic,Other,12-Feb-24,23-Oct-24,Others,Debit Card,Married,04-Feb-24,Active,18-May-24,Cust_35,gmail.com,44,2249,250,4,2.9,35
Cust_36,806-923-9818,hannah.fischer@yahoo.com,,Montana,American Samoa,Female,16-Jan-24,19-Apr-24,Bronze,Cash,Others,11-Oct-24,Active,24-Mar-24,Cust_4761,yahoo.com,30,3921.43,250,6,4.1,36
Cust_37,132-598-9568,linda.henry@yahoo.com,,Montana,Bahrain,Other,23-Oct-24,23-Oct-24,Others,Credit Card,Divorced,14-Mar-24,Active,13-Mar-24,Cust_8976,yahoo.com,44,3411.25,250,6,1.5,37
Cust_38,622-222-0167,jennifer.thomas@gmail.com,,Georgia,Myanmar,Male,23-Oct-24,23-Oct-24,Silver,Credit Card,Divorced,26-Aug-24,Active,26-Jul-24,Cust_38,gmail.com,44,511.86,135,3,4.7,38
Cust_39,532-447-4348,hannah.anderson@gmail.com,,West Virginia,Bulgaria,Male,23-Oct-24,24-Apr-24,Platinum,Cash,Divorced,23-Oct-24,Active,07-Jul-24,Cust_39,gmail.com,50,4019.69,250,2,2.9,39
Cust_40,823-914-1864,bradley.burns@outlook.com,,Maine,Egypt,Female,02-Jun-24,02-Mar-24,Others,Cash,Single,13-Aug-24,Active,23-Aug-24,Cust_3449,outlook.com,44,9142.93,266,9,2.2,40
Cust_41,441-799-6854,david.castillo@yahoo.com,,Louisiana,Tonga,Other,08-Sep-24,23-Oct-24,Gold,PayPal,Single,23-Oct-24,Inactive,24-Mar-24,Cust_22,yahoo.com,27,8933.77,38,9,3.3,41
Cust_42,950-297-8785,kenneth.moore@gmail.com,,Maryland,India,Male,23-Oct-24,24-Sep-24,Bronze,PayPal,Others,13-May-24,Inactive,09-May-24,Cust_5722,gmail.com,46,7221.99,423,11,1.9,42
Cust_43,450-412-3519,daniel.mercer@outlook.com,,Georgia,Slovenia,Other,23-Oct-24,23-Oct-24,Silver,Cash,Others,26-May-24,Active,14-Aug-24,Cust_9368,outlook.com,58,2480.43,82,6,2.9,43
Cust_44,556-651-2521,stephanie.duke@gmail.com,,North Dakota,Belgium,Female,23-Oct-24,23-Oct-24,Gold,PayPal,Divorced,13-Jul-24,Active,03-Sep-24,Cust_44,gmail.com,44,6939.69,250,3,2.9,44
Cust_45,893-441-3701,kenneth.drake@gmail.com,,North Dakota,Cape Verde,Male,27-Apr-24,23-Oct-24,Platinum,Cash,Married,03-Jan-24,Inactive,08-Apr-24,Cust_4202,gmail.com,57,7010.36,250,6,2.9,45
Cust_46,805-299-1535,ashley.frye@yahoo.com,,Oklahoma,Aruba,Male,23-Oct-24,13-Aug-24,Gold,Credit Card,Single,23-Oct-24,Active,25-Mar-24,Cust_46,yahoo.com,44,5533.05,271,6,2.9,46
Cust_47,333-925-6189,kathryn.walker@outlook.com,,Montana,Libyan Arab Jamahiriya,Male,10-May-24,23-Oct-24,Silver,PayPal,Divorced,03-Apr-24,Inactive,20-Feb-24,Cust_47,outlook.com,33,5098.34,287,11,4.3,47
Cust_48,930-799-4308,clayton.logan@yahoo.com,,Oklahoma,Turkey,Male,23-Oct-24,13-Jun-24,Silver,PayPal,Married,23-Oct-24,Active,14-Mar-24,Cust_7512,yahoo.com,44,5277.28,250,6,1.1,48
Cust_49,605-201-9364,debbie.smith@gmail.com,,Minnesota,Australia,Other,23-Oct-24,16-Mar-24,Silver,PayPal,Single,30-Mar-24,Inactive,06-Sep-24,Cust_8370,gmail.com,65,7647.46,281,9,2.9,49
Cust_50,001-534-4527,levi.brown@gmail.com,,North Dakota,Lao People's Democratic Republic,Female,23-Jul-24,23-Oct-24,Bronze,PayPal,Single,17-Apr-24,Active,01-Mar-24,Cust_50,gmail.com,57,4235.92,250,6,2.9,50
Cust_51,440-310-6255,melissa.reynolds@yahoo.com,,South Dakota,Gabon,Male,23-Oct-24,23-Oct-24,Gold,Credit Card,Single,23-Oct-24,Inactive,11-Apr-24,Cust_4409,yahoo.com,44,704.29,206,6,2.9,51
Cust_52,459-510-0443,jeremy.hall@gmail.com,,Minnesota,India,Male,25-Sep-24,23-Oct-24,Platinum,Credit Card,Married,11-Oct-24,Inactive,15-Jul-24,Cust_52,gmail.com,40,1272.55,250,6,2.9,52
Cust_53,193-349-9408,karen.daniels@gmail.com,,Connecticut,Pakistan,Other,02-Jan-24,18-Jun-24,Gold,PayPal,Divorced,20-Aug-24,Inactive,17-Sep-24,Cust_6910,gmail.com,35,8949.64,250,6,4.5,53
Cust_54,924-655-9241,rachel.johnson@yahoo.com,,Hawaii,Guernsey,Female,23-Oct-24,04-Apr-24,Bronze,PayPal,Single,06-Mar-24,Active,20-Sep-24,Cust_880,yahoo.com,44,868.14,250,6,2.9,54
Cust_55,288-672-3614,matthew.greene@outlook.com,,West Virginia,Equatorial Guinea,Female,30-Mar-24,28-Sep-24,Gold,Debit Card,Others,23-Oct-24,Active,16-Jun-24,Cust_4373,outlook.com,53,224.92,271,8,2.9,55
Cust_56,515-522-9372,tina.stevenson@gmail.com,,Nevada,Malawi,Other,25-Jul-24,23-Oct-24,Others,PayPal,Divorced,25-Sep-24,Active,20-Jun-24,Cust_7384,gmail.com,44,3330.52,233,8,2.9,56
Cust_57,568-211-8545,jamie.perry@gmail.com,,Pennsylvania,Sao Tome and Principe,Female,16-Sep-24,05-Mar-24,Gold,Debit Card,Others,29-Mar-24,Inactive,18-Mar-24,Cust_2803,gmail.com,44,3970.89,287,6,2.9,57
Cust_58,491-653-3620,christopher.phillips@outlook.com,,California,Equatorial Guinea,Male,23-Oct-24,11-Mar-24,Others,Cash,Married,28-Jan-24,Active,26-Jan-24,Cust_58,outlook.com,58,7221.92,296,10,2.2,58
Cust_59,965-895-0479,jose.maxwell@gmail.com,,Delaware,Congo,Female,23-Oct-24,14-May-24,Platinum,Credit Card,Others,01-Jun-24,Active,24-Apr-24,Cust_6444,gmail.com,44,1069.53,250,6,1.2,59
Cust_60,001-676-7273,tracy.wilson@gmail.com,,Iowa,Venezuela,Male,23-Oct-24,23-Oct-24,Silver,Cash,Married,18-Mar-24,Inactive,13-May-24,Cust_7212,gmail.com,56,4373.44,265,3,2.9,60
Cust_61,845-857-3672,megan.scott@gmail.com,,Connecticut,Aruba,Other,13-Jan-24,28-Aug-24,Bronze,Credit Card,Single,23-Oct-24,Inactive,19-Jan-24,Cust_1897,gmail.com,44,8020.53,250,4,2.9,61
Cust_62,001-242-9677,renee.lee@gmail.com,,Georgia,Gibraltar,Female,02-Oct-24,23-Oct-24,Others,Credit Card,Divorced,23-Jan-24,Active,31-Jan-24,Cust_1585,gmail.com,44,9117.84,250,6,2.9,62
Cust_63,910-568-8324,brandon.powell@gmail.com,,Illinois,Saint Lucia,Female,23-Oct-24,18-Jul-24,Silver,PayPal,Single,23-Oct-24,Active,16-Feb-24,Cust_63,gmail.com,44,7237.83,250,6,2.9,63
Cust_64,998-520-4604,bryan.perez@gmail.com,,New Jersey,Venezuela,Male,04-Mar-24,14-Jan-24,Gold,Debit Card,Single,12-May-24,Active,11-Jun-24,Cust_8932,gmail.com,22,2530.96,250,3,2.9,64
Cust_65,440-838-5806,julie.reyes@yahoo.com,,Virginia,Tokelau,Female,23-Oct-24,23-Oct-24,Silver,Debit Card,Married,23-Oct-24,Inactive,20-Aug-24,Cust_5416,yahoo.com,68,8584.79,240,9,2.9,65
Cust_66,159-757-1048,chad.medina@yahoo.com,,Maryland,Thailand,Male,24-Sep-24,23-Oct-24,Silver,Credit Card,Single,23-Oct-24,Active,14-May-24,Cust_7067,yahoo.com,44,6077.38,310,10,3.6,66
Cust_67,001-309-8718,eduardo.graham@gmail.com,,Florida,Zambia,Female,23-Sep-24,23-Oct-24,Silver,Credit Card,Married,23-Oct-24,Inactive,12-May-24,Cust_67,gmail.com,44,6415.45,295,11,2.5,67
Cust_68,253-5-,joshua.brown@gmail.com,,Missouri,Kenya,Male,23-Oct-24,06-Jan-24,Platinum,Cash,Others,23-Oct-24,Active,27-Jun-24,Cust_3764,gmail.com,44,9763.27,250,6,2.9,68
Cust_69,397-732-5182,elizabeth.davis@outlook.com,,Florida,Sao Tome and Principe,Female,23-Oct-24,14-Aug-24,Platinum,Credit Card,Divorced,06-Jul-24,Active,10-Feb-24,Cust_69,outlook.com,44,5931.68,250,6,2.9,69
Cust_70,001-231-4282,michelle.browning@outlook.com,,Idaho,Vanuatu,Other,23-Oct-24,27-Jul-24,Gold,Credit Card,Others,23-Oct-24,Active,04-May-24,Cust_6119,outlook.com,44,3233.87,250,6,2.9,70
Cust_71,452-722-5011,richard.wilson@yahoo.com,,Kansas,Mauritania,Male,11-Apr-24,23-Oct-24,Others,PayPal,Married,24-Sep-24,Active,06-Feb-24,Cust_71,yahoo.com,49,7004.63,250,6,2.1,71
Cust_72,450-481-3561,elizabeth.smith@gmail.com,,Delaware,Gibraltar,Female,06-Aug-24,19-Aug-24,Others,Debit Card,Single,23-Oct-24,Active,19-May-24,Cust_72,gmail.com,44,7431.18,250,10,2.9,72
Cust_73,972-515-1867,shane.torres@yahoo.com,,Massachusetts,Yemen,Male,23-Oct-24,13-May-24,Silver,Cash,Married,25-Apr-24,Active,13-Oct-24,Cust_73,yahoo.com,25,611.69,190,6,2.9,73
Cust_74,452-425-1043,amy.bishop@outlook.com,,Kentucky,Rwanda,Other,23-Oct-24,23-Sep-24,Bronze,Cash,Others,23-Oct-24,Active,08-Oct-24,Cust_2782,outlook.com,59,5582.41,215,3,2,74
Cust_75,585-293-4134,lisa.young@outlook.com,,New Jersey,Slovakia (Slovak Republic),Male,05-Jan-24,23-Oct-24,Others,PayPal,Single,04-Mar-24,Active,29-Feb-24,Cust_7240,outlook.com,48,2576.24,376,6,2.9,75
Cust_76,686-695-0325,cynthia.ramirez@gmail.com,,New York,Haiti,Female,23-Oct-24,29-Jun-24,Silver,PayPal,Others,20-Sep-24,Active,02-Aug-24,Cust_76,gmail.com,44,8699.45,250,6,1.2,76
Cust_77,866-697-3810,cynthia.davis@outlook.com,,South Carolina,Andorra,Female,14-Aug-24,25-Sep-24,Silver,Debit Card,Married,23-Oct-24,Active,20-Jul-24,Cust_77,outlook.com,44,4183.38,250,6,3.2,77
Cust_78,592-337-8861,jeffrey.campbell@gmail.com,,Tennessee,Trinidad and Tobago,Female,23-Oct-24,10-Apr-24,Bronze,PayPal,Single,23-Oct-24,Active,10-Jun-24,Cust_78,gmail.com,44,5139.03,250,6,2.9,78
Cust_79,911-346-5414,zachary.harris@gmail.com,,California,Iraq,Other,23-Oct-24,23-Oct-24,Platinum,PayPal,Others,28-Aug-24,Active,16-Jul-24,Cust_4629,gmail.com,63,9879.64,310,6,2.9,79
Cust_80,953-739-6035,ian.flowers@gmail.com,,Delaware,Martinique,Male,23-Oct-24,15-Mar-24,Platinum,Debit Card,Others,06-Aug-24,Active,13-Sep-24,Cust_2642,gmail.com,58,5121.17,214,11,3.9,80
Cust_81,415-936-8513,jennifer.ferguson@yahoo.com,,Florida,Cameroon,Male,27-Sep-24,13-Jun-24,Others,Debit Card,Married,03-Oct-24,Active,24-Aug-24,Cust_7296,yahoo.com,65,5633.67,250,6,2.9,81
Cust_82,612-262-7785,lance.garner@gmail.com,,New Mexico,Kazakhstan,Female,23-Oct-24,07-Feb-24,Bronze,PayPal,Others,23-Apr-24,Active,19-Mar-24,Cust_82,gmail.com,48,5626,250,1,1.2,82
Cust_83,174-671-0155,doris.carrillo@yahoo.com,,Florida,Portugal,Female,30-Aug-24,23-Oct-24,Gold,Cash,Single,20-Jul-24,Active,17-Jul-24,Cust_2149,yahoo.com,44,1599.84,5,6,2.5,83
Cust_84,603-289-1986,jeremy.wood@yahoo.com,,Arkansas,Morocco,Other,23-Oct-24,27-Jun-24,Bronze,Debit Card,Divorced,14-May-24,Active,06-Oct-24,Cust_648,yahoo.com,48,4046.38,250,6,2.9,84
Cust_85,619-656-5405,kenneth.hernandez@yahoo.com,,Maine,Spain,Female,04-Apr-24,23-Oct-24,Platinum,Cash,Single,23-Oct-24,Inactive,14-Jun-24,Cust_434,yahoo.com,46,7546.21,318,6,2.9,85
Cust_86,001-722-6385,james.gross@yahoo.com,,Idaho,Honduras,Other,13-Mar-24,23-Oct-24,Platinum,PayPal,Divorced,23-Oct-24,Active,23-Apr-24,Cust_5298,yahoo.com,44,353.84,277,6,2.7,86
Cust_87,605-206-8818,vincent.clark@outlook.com,,New Jersey,Ecuador,Other,23-Oct-24,23-Oct-24,Gold,Debit Card,Divorced,19-Sep-24,Inactive,13-Oct-24,Cust_87,outlook.com,39,973.05,250,5,2.9,87
Cust_88,740-2-,danielle.fernandez@yahoo.com,,Delaware,Samoa,Female,23-Oct-24,23-Oct-24,Silver,Credit Card,Married,30-Aug-24,Active,31-May-24,Cust_88,yahoo.com,41,6847.81,250,3,1.1,88
Cust_89,130-993-0202,stacey.cannon@gmail.com,,Montana,Micronesia,Male,23-Oct-24,23-Oct-24,Silver,Cash,Divorced,23-Oct-24,Active,30-Aug-24,Cust_89,gmail.com,44,8113.48,250,6,2.2,89
Cust_90,822-908-6058,robert.brown@outlook.com,,California,Fiji,Other,23-Oct-24,14-May-24,Bronze,Cash,Others,23-Oct-24,Inactive,15-Jul-24,Cust_90,outlook.com,44,5772.07,250,10,2.9,90
Cust_91,770-597-3379,megan.owens@outlook.com,,Tennessee,Belize,Female,14-Oct-24,23-Oct-24,Gold,Debit Card,Married,23-Oct-24,Active,04-Sep-24,Cust_8573,outlook.com,44,8145.35,64,1,2.3,91
Cust_92,170-551-1196,roy.jackson@gmail.com,,Colorado,Lesotho,Female,04-Apr-24,06-Jun-24,Silver,Cash,Single,23-Oct-24,Inactive,11-Oct-24,Cust_2364,gmail.com,46,1590.71,250,6,2.3,92
Cust_93,885-855-2987,lindsay.brown@yahoo.com,,Louisiana,Spain,Male,23-Oct-24,14-Jul-24,Gold,PayPal,Others,23-Oct-24,Inactive,21-Mar-24,Cust_13,yahoo.com,18,759.19,279,9,4.9,93
Cust_94,001-243-7047,david.day@outlook.com,,Ohio,Nauru,Female,18-Jul-24,31-Jan-24,Platinum,Credit Card,Others,23-Oct-24,Inactive,26-Feb-24,Cust_3169,outlook.com,40,9397.22,250,9,2.7,94
Cust_95,130-498-3799,brittany.wilson@yahoo.com,,California,Tokelau,Male,23-Oct-24,20-Jun-24,Platinum,Cash,Single,23-Oct-24,Active,10-Apr-24,Cust_95,yahoo.com,33,8137.41,250,6,2.9,95
Cust_96,748-8-,jason.turner@gmail.com,,Louisiana,Cayman Islands,Other,23-Oct-24,23-Oct-24,Gold,Credit Card,Divorced,23-Oct-24,Active,16-Apr-24,Cust_96,gmail.com,44,4879.02,320,6,2.9,96
Cust_97,129-331-6607,jose.patterson@gmail.com,,Georgia,Sao Tome and Principe,Other,04-Oct-24,23-Oct-24,Gold,Credit Card,Married,23-Oct-24,Active,21-Mar-24,Cust_8615,gmail.com,57,3004.89,421,6,2.9,97
Cust_98,866-883-1626,dustin.phillips@gmail.com,,Rhode Island,Mexico,Male,23-Oct-24,23-Oct-24,Others,Debit Card,Divorced,23-Oct-24,Active,15-Jun-24,Cust_98,gmail.com,44,2869.87,250,1,1.1,98
Cust_99,001-222-8962,kristin.potts@yahoo.com,,Virginia,Slovakia (Slovak Republic),Female,16-Sep-24,23-Oct-24,Bronze,Debit Card,Divorced,28-Sep-24,Inactive,05-May-24,Cust_5561,yahoo.com,44,4519.68,279,7,4,99
Cust_100,187-966-1680,franklin.hamilton@gmail.com,,Hawaii,Egypt,Female,18-Jul-24,23-Oct-24,Others,PayPal,Married,23-Oct-24,Active,16-Jan-24,Cust_100,gmail.com,44,3865.53,19,9,1.2,100
Cust_101,540-833-8851,christopher.atkins@outlook.com,,Montana,Mayotte,Male,23-Oct-24,23-Oct-24,Gold,PayPal,Divorced,12-Sep-24,Active,05-Aug-24,Cust_101,outlook.com,44,7780.39,250,6,2.9,101
Cust_102,126-151-5663,albert.foster@gmail.com,,Arizona,Central African Republic,Other,23-Oct-24,23-Oct-24,Bronze,Credit Card,Single,24-Jun-24,Inactive,19-Feb-24,Cust_102,gmail.com,44,4182.92,192,6,4.2,102
Cust_103,671-981-0834,susan.walters@yahoo.com,,Utah,United Kingdom,Male,23-Oct-24,05-Mar-24,Silver,Cash,Divorced,23-Oct-24,Active,29-Jul-24,Cust_778,yahoo.com,33,6903.08,250,6,2.9,103
Cust_104,001-594-2224,erica.fernandez@outlook.com,,North Dakota,Panama,Other,01-Jul-24,23-Oct-24,Gold,Credit Card,Single,09-Apr-24,Active,15-Mar-24,Cust_3352,outlook.com,28,9576.05,250,10,2.9,104
Cust_105,953-0-,april.murphy@gmail.com,,South Carolina,Croatia,Male,23-Oct-24,12-Jan-24,Gold,PayPal,Divorced,23-Oct-24,Active,09-Jun-24,Cust_105,gmail.com,44,4058.48,250,6,2.3,105
Cust_106,001-944-7150,brittney.cain@outlook.com,,New Hampshire,Fiji,Other,23-Oct-24,23-Oct-24,Platinum,Credit Card,Single,23-Oct-24,Active,18-Apr-24,Cust_106,outlook.com,68,9433.62,250,6,4.6,106
Cust_107,537-254-6453,anthony.anderson@gmail.com,,Wyoming,Sierra Leone,Female,23-Oct-24,07-Oct-24,Silver,Credit Card,Married,12-Jun-24,Active,04-May-24,Cust_3730,gmail.com,56,4036.75,250,6,2.5,107
Cust_108,001-588-3756,derrick.jackson@gmail.com,,Tennessee,Yemen,Female,23-Jun-24,23-Oct-24,Gold,Credit Card,Divorced,20-Sep-24,Active,28-Jul-24,Cust_5528,gmail.com,44,9922.73,4,2,2.9,108
Cust_109,683-496-8617,thomas.estrada@yahoo.com,,Louisiana,Sao Tome and Principe,Other,23-Jul-24,23-Oct-24,Bronze,Cash,Married,23-Oct-24,Active,04-Oct-24,Cust_1288,yahoo.com,44,8538.34,335,6,2.9,109
Cust_110,502-441-4456,dennis.barajas@yahoo.com,,Alabama,Cayman Islands,Other,23-Aug-24,23-Oct-24,Platinum,Credit Card,Married,30-Sep-24,Active,29-Apr-24,Cust_9719,yahoo.com,66,7084,250,3,3.2,110
Cust_111,354-702-5002,rebecca.wagner@yahoo.com,,Washington,Greenland,Other,27-Sep-24,30-Aug-24,Gold,Cash,Married,25-Jun-24,Inactive,05-Oct-24,Cust_4243,yahoo.com,44,4112.36,8,6,2.9,111
Cust_112,001-600-3334,joseph.johnson@gmail.com,,New York,Saint Martin,Female,23-Oct-24,23-Oct-24,Silver,Credit Card,Others,23-Oct-24,Active,15-Oct-24,Cust_112,gmail.com,61,5406.53,250,6,3.8,112
Cust_113,635-488-8239,andrew.gomez@outlook.com,,Oregon,Panama,Male,23-Oct-24,02-Oct-24,Gold,Credit Card,Married,29-Mar-24,Active,02-Sep-24,Cust_113,outlook.com,48,4558.49,250,6,4.5,113
